"","model","Freq"
"1","ABARTH 500",14
"2","ABARTH 595",49
"3","ALFA ROMEO 147",13
"4","ALFA ROMEO 159",27
"5","ALFA ROMEO GIULIA",14
"6","ALFA ROMEO GIULIETTA",58
"7","ALFA ROMEO MITO",80
"8","AUDI A1",629
"9","AUDI A2",32
"10","AUDI A3",1627
"11","AUDI A4",985
"12","AUDI A5",395
"13","AUDI A6",434
"14","AUDI A7",71
"15","AUDI A8",60
"16","AUDI Q2",162
"17","AUDI Q3",230
"18","AUDI Q5",167
"19","AUDI Q7",152
"20","AUDI Q8",10
"21","AUDI RS3",28
"22","AUDI RS4",10
"23","AUDI RS6",12
"24","AUDI S3",155
"25","AUDI S4",27
"26","AUDI S5",39
"27","AUDI SQ5",30
"28","AUDI TT",202
"29","AUDI TTS",40
"30","BENTLEY CONTINENTAL",14
"31","BMW 1 SERIES",1642
"32","BMW 2 SERIES",340
"33","BMW 3 SERIES",2535
"34","BMW 4 SERIES",285
"35","BMW 5 SERIES",1129
"36","BMW 6 SERIES",61
"37","BMW 7 SERIES",80
"38","BMW I3",66
"39","BMW M1",101
"40","BMW M2",34
"41","BMW M3",49
"42","BMW M4",45
"43","BMW M5",17
"44","BMW MODEL MISSING",10
"45","BMW X1",198
"46","BMW X2",28
"47","BMW X3",220
"48","BMW X4",35
"49","BMW X5",446
"50","BMW X6",54
"51","BMW Z3",14
"52","BMW Z4",44
"53","CHEVROLET AVEO",45
"54","CHEVROLET CAPTIVA",29
"55","CHEVROLET CRUZE",20
"56","CHEVROLET KALOS",18
"57","CHEVROLET LACETTI",26
"58","CHEVROLET MATIZ",76
"59","CHEVROLET ORLANDO",25
"60","CHEVROLET SPARK",43
"61","CHRYSLER 300",14
"62","CHRYSLER PT CRUISER",11
"63","CHRYSLER VOYAGER",34
"64","CHRYSLER YPSILON",13
"65","CITROEN BERLINGO",151
"66","CITROEN C-CROSSER",10
"67","CITROEN C1",453
"68","CITROEN C2",106
"69","CITROEN C3",631
"70","CITROEN C4",595
"71","CITROEN C5",72
"72","CITROEN DS3",188
"73","CITROEN DS4",27
"74","CITROEN DS5",13
"75","CITROEN SAXO",38
"76","CITROEN XSARA",203
"77","DACIA DUSTER",118
"78","DACIA LOGAN",35
"79","DACIA SANDERO",193
"80","DAEWOO KALOS",10
"81","DAIHATSU SIRION",20
"82","DAIHATSU TERIOS",22
"83","DODGE CALIBER",19
"84","DS DS3",88
"85","DS DS4",11
"86","FIAT 500",947
"87","FIAT 500X",16
"88","FIAT BRAVO",52
"89","FIAT DOBLO",30
"90","FIAT PANDA",196
"91","FIAT PUNTO",486
"92","FIAT SEICENTO",12
"93","FIAT TIPO",30
"94","FORD B-MAX",124
"95","FORD C-MAX",346
"96","FORD ECOSPORT",212
"97","FORD EDGE",15
"98","FORD ESCORT",15
"99","FORD FIESTA",4826
"100","FORD FOCUS",3744
"101","FORD FUSION",211
"102","FORD GALAXY",311
"103","FORD GRAND C-MAX",51
"104","FORD KA",549
"105","FORD KA+",85
"106","FORD KUGA",547
"107","FORD MODEL MISSING",31
"108","FORD MONDEO",932
"109","FORD MUSTANG",28
"110","FORD PUMA",25
"111","FORD S-MAX",220
