"","Frequency.age_vehicle","Frequency.Freq","Proportion.age_vehicle","Proportion.Freq"
"1","0",6536,"0",0.0882015572918775
"2","1",9384,"1",0.126634549208534
"3","2",7449,"2",0.100522246062912
"4","3",6380,"3",0.0860963793638584
"5","4",5635,"4",0.0760428052845364
"6","5",4421,"5",0.0596602026908492
"7","6",3721,"6",0.0502138914753789
"8","7",3447,"7",0.0465163353710376
"9","8",3342,"8",0.0450993886887171
"10","9",3099,"9",0.0418201692239181
"11","10",2716,"10",0.036651687516025
"12","11",2539,"11",0.0342631202515418
"13","12",2392,"12",0.032279394896293
"14","13",2028,"13",0.0273673130642484
"15","14",1803,"14",0.0243309987449901
"16","15",1710,"15",0.0230759888263633
"17","16",1642,"16",0.0221583471654319
"18","17",1476,"17",0.0199182219343346
"19","18",1281,"18",0.0172867495243108
"20","19",1118,"19",0.0150871084841369
"21","20",858,"20",0.0115784786041051
"22","21",677,"21",0.00913593241839062
"23","22",449,"22",0.00605913390820884
