,sex_of_driver,age_of_driver,vehicle_type,generic_make_model,engine_capacity_cc,age_of_vehicle
1,1,23,2,-1,124,4
12,1,21,4,-1,-1,-1
17,1,36,3,-1,124,1
24,1,34,3,-1,125,0
42,1,58,3,-1,-1,-1
60,1,51,5,-1,745,0
66,2,28,2,-1,49,12
74,1,40,5,-1,998,8
76,1,46,4,-1,124,3
93,1,36,3,-1,125,7
96,1,28,4,-1,929,16
107,1,24,5,-1,-1,-1
118,1,48,4,-1,471,3
124,1,21,4,-1,124,8
135,1,20,4,-1,-1,-1
136,1,21,4,-1,125,4
138,1,22,3,-1,49,3
143,1,18,3,-1,125,5
145,1,62,5,-1,599,26
150,1,42,5,-1,883,12
153,1,50,4,-1,750,1
160,1,33,3,-1,-1,-1
161,1,26,3,-1,125,3
165,1,34,4,-1,125,3
168,1,46,5,-1,798,1
177,1,46,3,-1,-1,-1
180,1,28,3,-1,-1,-1
183,1,18,4,-1,125,2
186,2,20,3,-1,125,2
200,1,24,3,-1,114,2
211,1,18,2,-1,-1,-1
215,1,29,3,-1,85,15
222,1,36,4,-1,599,1
226,1,20,3,-1,124,4
234,1,42,5,-1,-1,-1
238,1,30,3,-1,108,3
240,3,-1,3,-1,124,18
242,1,24,5,-1,998,5
248,1,33,5,-1,599,7
250,1,22,3,-1,125,4
257,1,26,4,-1,125,2
258,1,41,3,-1,125,1
261,1,38,5,-1,649,2
262,1,27,4,-1,599,24
264,1,39,3,-1,395,3
274,1,24,4,-1,124,11
284,1,55,2,-1,49,9
289,2,44,2,-1,124,13
290,1,25,4,-1,-1,-1
292,1,15,2,-1,49,4
296,1,25,3,-1,125,4
299,1,45,5,-1,998,15
307,2,34,3,-1,-1,-1
312,1,57,3,-1,-1,-1
313,1,37,4,-1,999,5
316,1,28,2,-1,49,1
323,1,33,5,-1,999,1
329,1,17,2,-1,125,0
330,1,27,4,-1,124,7
340,1,22,3,-1,-1,-1
341,1,23,4,-1,125,8
348,3,-1,3,-1,125,2
356,1,35,4,-1,124,6
358,1,49,5,-1,750,41
374,1,23,3,-1,124,10
376,1,46,3,-1,124,14
380,1,-1,2,-1,-1,-1
387,1,25,5,-1,599,19
389,1,25,5,-1,1157,17
390,1,21,4,-1,-1,-1
393,1,33,3,-1,-1,-1
405,1,27,4,-1,599,17
411,1,37,3,-1,124,4
415,1,30,3,-1,125,6
421,1,16,2,-1,49,0
423,1,20,2,-1,124,15
430,1,24,3,-1,125,7
432,1,37,5,-1,670,4
443,1,41,3,-1,125,7
450,1,33,4,-1,-1,-1
453,1,23,3,-1,125,7
460,1,32,3,-1,125,4
463,1,31,3,-1,125,5
472,1,19,3,-1,125,1
475,1,48,3,-1,-1,-1
478,1,33,3,-1,108,4
480,1,49,5,-1,599,15
487,1,34,4,-1,125,5
490,1,32,2,-1,125,8
493,1,36,2,-1,124,4
498,1,42,4,-1,125,0
500,1,20,3,-1,125,0
521,1,-1,2,-1,-1,-1
524,1,34,5,-1,689,1
536,1,55,3,-1,124,1
540,1,41,5,-1,-1,-1
543,1,19,3,-1,125,0
548,1,21,2,-1,49,10
556,1,23,3,-1,-1,-1
558,1,20,3,-1,108,2
565,1,16,2,-1,49,0
566,1,37,2,-1,125,3
569,1,29,5,-1,-1,-1
572,1,22,4,-1,124,3
579,1,23,3,-1,125,7
583,1,23,3,-1,125,8
590,1,28,4,-1,659,5
596,1,39,3,-1,125,0
607,1,23,2,-1,599,9
609,1,22,4,-1,125,0
615,1,26,4,-1,125,0
616,1,24,5,-1,689,1
624,1,33,3,-1,125,3
625,1,30,3,-1,124,6
634,1,49,4,-1,399,24
641,1,28,5,-1,1299,13
668,1,42,3,-1,124,0
671,1,23,3,-1,124,3
684,1,32,3,-1,125,1
686,1,35,3,-1,125,5
689,1,18,3,-1,125,6
694,1,58,3,-1,113,1
696,3,-1,2,-1,-1,-1
698,1,21,4,-1,108,3
707,1,20,5,-1,649,9
709,1,19,3,-1,125,0
712,1,25,2,-1,108,1
716,1,28,4,-1,124,6
717,1,35,4,-1,125,12
729,1,34,3,-1,125,5
738,2,21,2,-1,49,7
743,1,54,4,-1,-1,-1
745,1,40,5,-1,750,14
746,1,48,2,-1,49,4
750,1,33,3,-1,124,1
760,3,-1,3,-1,-1,-1
762,1,42,5,-1,645,4
766,1,37,3,-1,108,2
768,1,29,2,-1,124,2
783,1,28,4,-1,-1,-1
787,1,18,3,-1,125,10
791,1,38,3,-1,-1,-1
794,1,26,3,-1,-1,-1
801,1,41,3,-1,125,0
811,1,50,5,-1,748,19
819,1,32,5,-1,748,8
821,1,19,2,-1,108,1
828,2,22,3,-1,-1,-1
836,1,27,2,-1,108,2
838,1,44,3,-1,-1,-1
839,1,30,3,-1,125,11
847,1,34,3,-1,124,6
851,1,48,2,-1,49,15
865,1,29,3,-1,125,0
887,1,24,2,-1,125,1
906,3,-1,3,-1,125,8
913,1,49,5,-1,999,4
915,1,21,5,-1,599,18
926,1,50,3,-1,125,0
928,1,21,3,-1,125,1
930,1,30,3,-1,125,0
935,1,34,4,-1,-1,-1
937,1,35,3,-1,124,2
944,1,31,3,-1,125,10
948,1,30,2,-1,-1,-1
952,1,26,2,-1,-1,-1
960,1,18,2,-1,-1,-1
967,1,20,3,-1,124,7
996,1,36,3,-1,-1,-1
1007,1,37,3,-1,108,3
1009,1,35,3,-1,125,1
1010,3,-1,3,-1,-1,-1
1013,1,34,3,-1,124,6
1017,3,-1,3,-1,-1,-1
1019,1,22,2,-1,49,4
1022,1,21,3,-1,108,0
1030,1,37,2,-1,-1,-1
1035,3,-1,3,-1,-1,-1
1043,1,35,3,-1,108,1
1049,3,-1,3,-1,-1,-1
1050,1,32,3,-1,125,7
1053,1,47,5,-1,1170,6
1056,1,40,3,-1,125,5
1062,1,20,2,-1,49,6
1063,1,25,3,-1,124,7
1075,1,28,3,-1,125,0
1078,1,37,5,-1,1237,3
1080,2,41,5,-1,644,8
1082,1,32,5,-1,636,10
1112,2,27,3,-1,-1,-1
1125,2,23,3,-1,-1,-1
1127,1,43,3,-1,124,3
1132,1,30,3,-1,998,7
1134,1,20,3,-1,125,5
1137,1,22,4,-1,124,7
1144,1,58,3,-1,125,9
1154,1,29,5,-1,600,12
1159,1,18,3,-1,-1,-1
1170,2,21,4,-1,-1,-1
1180,1,23,3,-1,125,6
1194,1,58,4,-1,-1,-1
1210,1,26,5,-1,-1,-1
1213,3,-1,3,-1,125,1
1215,3,-1,3,-1,124,4
1218,1,26,5,-1,599,18
1224,1,32,2,-1,125,2
1229,1,59,5,-1,645,11
1232,1,25,5,-1,656,6
1242,1,38,3,-1,124,10
1244,1,23,3,-1,124,0
1248,3,-1,3,-1,-1,-1
1252,1,23,2,-1,124,14
1256,1,40,5,-1,-1,-1
1272,1,50,5,-1,781,16
1278,1,28,4,-1,125,8
1280,1,28,3,-1,125,10
1286,1,46,3,-1,-1,-1
1312,1,34,3,-1,125,2
1318,1,37,4,-1,124,7
1328,1,28,5,-1,689,0
1333,1,31,3,-1,125,0
1334,1,22,2,-1,108,3
1336,1,18,3,-1,125,4
1348,1,20,3,-1,124,1
1360,1,40,3,-1,125,0
1363,1,34,4,-1,124,7
1365,1,55,5,-1,680,7
1367,1,25,2,-1,124,15
1375,1,47,3,-1,124,9
1381,1,26,3,-1,125,3
1384,1,21,3,-1,-1,-1
1388,1,22,3,-1,125,3
1391,1,32,2,-1,49,9
1398,1,39,4,-1,-1,-1
1431,1,34,3,-1,124,9
1433,2,51,4,-1,-1,-1
1436,1,17,2,-1,49,4
1438,1,21,4,-1,125,0
1440,1,37,4,-1,395,0
1446,1,42,3,-1,-1,-1
1477,1,16,2,-1,49,9
1486,1,22,3,-1,108,0
1524,1,25,3,-1,124,10
1528,1,22,5,-1,806,1
1536,2,36,2,-1,124,7
1539,1,29,3,-1,49,1
1558,1,32,3,-1,125,4
1559,1,24,4,-1,-1,-1
1565,1,34,3,-1,125,5
1574,3,-1,2,-1,-1,-1
1580,1,27,4,-1,125,0
1593,1,36,4,-1,176,18
1600,1,18,3,-1,124,4
1616,1,54,5,-1,-1,-1
1617,1,19,3,-1,124,1
1634,1,39,4,-1,600,12
1638,1,50,5,-1,1050,11
1648,1,24,4,-1,689,0
1654,3,-1,4,-1,-1,-1
1655,1,31,3,-1,125,0
1664,1,48,4,-1,124,0
1666,1,21,3,-1,124,0
1688,1,25,5,-1,-1,-1
1690,1,24,5,-1,-1,-1
1692,1,37,4,-1,1050,0
